	CBSA_Name	NatWalkInd
6	Akron, OH	7.458408679985528
39	Ashland, OH	6.7045454546590895
40	Ashtabula, OH	6.136524822617024
43	Athens, OH	7.996527778000001
78	Bellefontaine, OH	6.128205128076922
123	Bucyrus-Galion, OH	6.881944444125
134	Cambridge, OH	5.842857142800001
137	Canton-Massillon, OH	7.424695459551496
149	Celina, OH	6.171717171696969
164	Chillicothe, OH	5.575268817112904
165	Cincinnati, OH-KY-IN	9.608375959044114
172	Cleveland-Elyria, OH	10.67807949624617
189	Columbus, OH	9.753026933524088
202	Coshocton, OH	5.999999999787878
219	Dayton-Kettering, OH	10.07524271838997
224	Defiance, OH	6.004629629527779
289	Findlay, OH	7.268817204387096
312	Fremont, OH	6.669491525474576
348	Greenville, OH	5.958333333038461
391	Huntington-Ashland, WV-KY-OH	6.801111111016671
406	Jackson, OH	5.7944444447000025
487	Lima, OH	6.947463768152176
518	Mansfield, OH	6.438596491263159
519	Marietta, OH	5.921985815489363
523	Marion, OH	6.27485380114035
581	Mount Vernon, OH	6.358695652282607
602	New Philadelphia-Dover, OH	7.63636363638961
615	Norwalk, OH	6.048611111145832
678	Point Pleasant, WV-OH	4.882978723531915
689	Portsmouth, OH	5.949771689575341
738	Salem, OH	6.434397163159574
753	Sandusky, OH	9.528571428685714
788	Sidney, OH	5.9957264954871805
807	Springfield, OH	6.5980392157058825
846	Tiffin, OH	6.675438596456142
849	Toledo, OH	10.286773428350537
867	Urbana, OH	5.083333333176472
872	Van Wert, OH	6.178571428571428
888	Wapakoneta, OH	6.556910568975608
893	Washington Court House, OH	5.935897435961538
905	Weirton-Steubenville, WV-OH	6.305555555491667
909	Wheeling, WV-OH	7.337807606295301
917	Wilmington, OH	5.3333333334374995
926	Wooster, OH	6.4437751004216866
933	Youngstown-Warren-Boardman, OH-PA	6.641987179521149
936	Zanesville, OH	6.377777777626665
